Coder_1,Coder_2,Coder_3
MotiveCat_Saving_face|Avoid_difficult_discussion|Negative_career_consequence|Underqualified_underperforming_for_position,MotiveCat_Saving_face|Maintain_morale|Maintain_privacy|MotiveCat_Power_distance|Power_difference|Maintain_hierarchy|Negative_career_consequence,MotiveCat_Saving_face|Maintain_professionalism|Negative_career_consequence
MotiveCat_Saving_face|Avoid_difficult_discussion|Avoid_drama|Maintain_relationship|Maintain_reputation|MotiveCat_Lack_of_Motive_to_Break_Silence|Lack_of_personal_relevance|Affair,MotiveCat_Saving_face|Avoid_drama|MotiveCat_Lack_of_Motive_to_Break_Silence|Lack_of_personal_relevance|Affair,MotiveCat_Saving_face|Avoid_drama|Affair
|,|,|
MotiveCat_Instrumental|Concealing_facts|Gain_advantage_over_others|Positive_surprise,MotiveCat_Instrumental|Gain_advantage_over_others|Positive_surprise,MotiveCat_Instrumental|Gain_advantage_over_others|Unfair_distribution_of_rewards
|,|,|
MotiveCat_Normative|Norms|MotiveCat_Instrumental|Concealing_facts|Positive_surprise,MotiveCat_Normative|Social_bond|MotiveCat_Instrumental|Concealing_facts|Positive_surprise,MotiveCat_Instrumental|Concealing_facts|Positive_surprise
MotiveCat_Fear|Scared_to_discuss|Underqualified_underperforming_for_position,MotiveCat_Power_distance|Maintain_hierarchy|Underqualified_underperforming_for_position,MotiveCat_Instrumental|Secret_to_outsiders|Underqualified_underperforming_for_position
MotiveCat_Saving_face|Maintain_morale|MotiveCat_Efficacy_concerns|Efficacy_concerns|MotiveCat_Instrumental|Gain_advantage_over_others|MotiveCat_Lack_of_Motive_to_Break_Silence|Lack_of_personal_relevance|Bad_news_about_company|Leaving_company,MotiveCat_Efficacy_concerns|Efficacy_concerns|Bad_news_about_company|Contradictory_messaging|Negative_career_consequence,MotiveCat_Lack_of_Motive_to_Break_Silence|Lack_of_personal_relevance|Leaving_company|Negative_career_consequence
MotiveCat_Saving_face|Protect_feelings|Maintain_relationship|Maintain_reputation|MotiveCat_Protective|Protect_other|Illegal_unwanted_behaviour,MotiveCat_Saving_face|Maintain_relationship|Illegal_unwanted_behaviour,MotiveCat_Saving_face|Avoid_drama|Illegal_unwanted_behaviour
MotiveCat_Saving_face|Maintain_privacy|Maintain_professionalism|MotiveCat_Power_distance|Maintain_hierarchy|Leaving_company|Positive_career_change,MotiveCat_Instrumental|Concealing_facts|Leaving_company|Positive_career_change,MotiveCat_Saving_face|Maintain_privacy|MotiveCat_Protective|Protect_other|Leaving_company
MotiveCat_Fear|Avoid_trouble|Affair|Lack_of_professionalism,MotiveCat_Fear|Avoid_trouble|Scared_to_discuss|MotiveCat_Power_distance|Power_difference|Affair,MotiveCat_Normative|Norms|Social_bond|MotiveCat_Fear|Avoid_trouble|Affair
|,|,|
MotiveCat_Saving_face|Avoid_difficult_discussion|Maintain_relationship|MotiveCat_Protective|Avoid_discrimination|Closeted_sexuality,MotiveCat_Saving_face|Avoid_difficult_discussion|MotiveCat_Protective|Avoid_discrimination|Closeted_sexuality,MotiveCat_Saving_face|Protect_feelings|Avoid_difficult_discussion|Discriminatory_behaviour
MotiveCat_Saving_face|Maintain_privacy|Avoid_difficult_discussion|Maintain_relationship|MotiveCat_Instrumental|Concealing_facts|Closeted_sexuality,MotiveCat_Saving_face|Maintain_privacy|Avoid_difficult_discussion|Closeted_sexuality,MotiveCat_Saving_face|Protect_feelings|Avoid_difficult_discussion|Closeted_sexuality
MotiveCat_Saving_face|Maintain_reputation|MotiveCat_Protective|Protect_other|MotiveCat_Fear|Avoid_trouble|MotiveCat_Lack_of_Motive_to_Break_Silence|Lack_of_personal_relevance|Lack_of_professionalism|Violation_of_policy,MotiveCat_Saving_face|Avoid_drama|MotiveCat_Protective|Protect_other|MotiveCat_Efficacy_concerns|Efficacy_concerns|Dating|Illegal_unwanted_behaviour,MotiveCat_Lack_of_Motive_to_Break_Silence|Lack_of_personal_relevance|Negative_career_consequence|Violation_of_policy
MotiveCat_Saving_face|Avoid_drama|Maintain_reputation|MotiveCat_Power_distance|Maintain_hierarchy|MotiveCat_Instrumental|Concealing_facts|Leaving_company,MotiveCat_Saving_face|Protect_feelings|Maintain_reputation|MotiveCat_Power_distance|Power_difference|Leaving_company|Negative_career_consequence,MotiveCat_Saving_face|Maintain_privacy|Leaving_company
MotiveCat_Power_distance|Maintain_hierarchy|MotiveCat_Instrumental|Concealing_facts|Leaving_company,MotiveCat_Saving_face|Maintain_privacy|Leaving_company,MotiveCat_Saving_face|Maintain_privacy|Leaving_company
MotiveCat_Normative|Workplace_culture|MotiveCat_Efficacy_concerns|Efficacy_concerns|Abusive_supervision|Corruption_nepotism|Underqualified_underperforming_for_position,MotiveCat_Normative|Workplace_culture|MotiveCat_Power_distance|Power_difference|MotiveCat_Efficacy_concerns|Efficacy_concerns|MotiveCat_Instrumental|Gain_advantage_over_others|Underqualified_underperforming_for_position|Unfair_distribution_of_rewards,MotiveCat_Normative|Workplace_culture|Underqualified_underperforming_for_position
MotiveCat_Saving_face|Avoid_difficult_discussion|MotiveCat_Normative|Social_bond|MotiveCat_Lack_of_Motive_to_Break_Silence|Lack_of_personal_relevance|Affair,MotiveCat_Saving_face|Avoid_difficult_discussion|Affair|Dating,MotiveCat_Lack_of_Motive_to_Break_Silence|Lack_of_personal_relevance|Affair
MotiveCat_Saving_face|Maintain_morale|MotiveCat_Normative|Norms|MotiveCat_Fear|Avoid_trouble|MotiveCat_Power_distance|Maintain_hierarchy|MotiveCat_Instrumental|Gain_advantage_over_others|Abusive_supervision,MotiveCat_Fear|Avoid_trouble|MotiveCat_Power_distance|Power_difference|Maintain_hierarchy|MotiveCat_Instrumental|Gain_advantage_over_others|Abusive_supervision|Corruption_nepotism,MotiveCat_Fear|Scared_to_discuss|MotiveCat_Instrumental|Gain_advantage_over_others|Abusive_supervision
MotiveCat_Saving_face|Maintain_privacy|Protect_feelings|Maintain_relationship|Closeted_sexuality,MotiveCat_Saving_face|Maintain_privacy|Closeted_sexuality,MotiveCat_Saving_face|Maintain_privacy|Closeted_sexuality
MotiveCat_Instrumental|Concealing_facts|Underqualified_underperforming_for_position,MotiveCat_Saving_face|Maintain_reputation|MotiveCat_Normative|Workplace_culture|Bad_news_about_company|Contradictory_messaging,MotiveCat_Normative|Norms|Bad_news_about_company
MotiveCat_Saving_face|Maintain_morale|Protect_feelings|Maintain_relationship|Negative_career_consequence|Underqualified_underperforming_for_position,MotiveCat_Saving_face|Maintain_morale|Protect_feelings|Maintain_reputation|Negative_career_consequence,MotiveCat_Saving_face|Maintain_morale|Maintain_reputation|Negative_career_consequence|Underqualified_underperforming_for_position
MotiveCat_Saving_face|Protect_feelings|Avoid_difficult_discussion|Avoid_drama|Maintain_relationship|MotiveCat_Power_distance|Power_difference|Corruption_nepotism|Underqualified_underperforming_for_position,MotiveCat_Saving_face|Maintain_morale|Protect_feelings,MotiveCat_Saving_face|Protect_feelings|Corruption_nepotism|Underqualified_underperforming_for_position
MotiveCat_Lack_of_Motive_to_Break_Silence|Lack_of_personal_relevance|Breakdown_in_relationship,MotiveCat_Power_distance|Power_difference|Breakdown_in_relationship|Underqualified_underperforming_for_position,MotiveCat_Normative|Norms|Inappropriate_behaviour
